,,,,,,,,,,,,,,,
// FACES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
_property,id,name,metaCategory,category,animalImage,rarity,sort,civ,,reward,colors[0],colors[1],colors[2],colors[3],description
,fo,Towser,,cat,,epic,,england,,ffwwff,darkred,wheat,darkred,,"Holds the Guiness World Record for the most mice caught, over 28,000"
,fp,Artful Dodger,,cat,,common,,england,,ssppps,moccasin,papayawhip,moccasin,,"A cat who learned to take the bus from town to town in Dorset, England"
,fq,Bart,,cat,,epic,,usa,,wswsws,darkgreen,#80a895,gray,,"The Zombie Cat: Bart survived a traffic accident, was unintentionally buried alive, and clawed his way out of the grave"
,fr,Blackie,,cat,,common,,usa,,swpmsf,#303030,black,#303030,,"A ""talking cat"" involved in a court case about feline rights of free speech"
,fs,Beerbohm,,cat,,epic,,england,,mpmfmp,sienna,palevioletred,sienna,,A thespian cat who lived in a London theater and occasionally walked on stage during performances
,ft,Emily,,cat,,epic,,france,,spssms,lightsteelblue,skyblue,lightsteelblue,,An American cat who stowed away on a boat and ended up in France
,fu,Crimean Tom,,cat,,legendary,,russia,,wfffffw,darkred,crimson,darkred,,Tom helped British troops find food in Sevastopol during the Crimean War
,fv,Fred,,cat,,epic,,usa,,wwppww,gray,black,gray,,Fred the Undercover Kitty helped the NYPD arrest a fake veterinarian
,fw,Ketzel,,cat,,rare,,usa,,pmspsp,#303030,ivory,#303030,,Won an award for an original piano music composition
,fx,Mike,,cat,,rare,,england,,wpmpmw,#00247d,white,#cf142b,,Guarded the gates of the British Museum
,fy,Oscar,,cat,,legendary,,england,,ssswsss,steelblue,#dedede,lightsteelblue,,"The Bionic Cat:  After losing his hind feet in an accident, Oscar had new prosthetic feet surgically attached"
,fz,Tiddles,,cat,,common,,england,,ffffff,lemonchiffon,yellow,gold,,Tiddles lived in the Paddington Station ladies' room.  He was fed constantly by his admirers and became famously fat.
,fA,Tibs,,cat,,epic,,england,,wwffpp,palevioletred,mistyrose,darkmagenta,,Tibs the Great worked as a mouse hunter at the British Post Office headquarters for 14 years
,fB,Crookshanks,,cat,,legendary,,england,,swpfpws,#ffc20d,#ffcd0d,#ffc20d,,Hermione's unusually intelligent feline companion
,fC,Sylvester,,cat,,common,,usa,,fwpswf,black,white,black,,The unlucky but committed antagonist of Tweety Bird
,fD,Jiji,,cat,,legendary,,japan,,sspwpss,#9563dc,#151515,#9563dc,,Kiki's sarcastic but loyal companion
,fE,Protocat,,cat,,legendary,,zulu,,sfpmwmw,yellow,violet,palegreen,,The cat that first laid a mouse at a human's feet.  The ancestor of today's feline friends.
,,,,,,,,,,,,,,// old,Email me (info@whalebunny.com) with the name and background info of your cat for a chance to have it appear here
//backups,,,,,,,,,//nice gray not in use,,#303030,#505050,#303030,,
//,willow,,,,,,,,,,,,,,
//,aristocats?,,,,,,,,"// need more conceptual colors, like red/white/red japanese historical cats",,,,,,
//,lucifer from cinderella,,,,,,,,,,,,,,
//,the marvel cat?,,,,,,,,,,,,,,
//,"pickles, the dog that found the world cup trophy",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,// currently grouping horses and elephants together.  Will change this later.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,e1,Abul-Abbas,,elephant,,epic,e,france,,wwwwww,indianred,mistyrose,gold,,The war elephant of Charlemagne
,e2,Babar,,elephant,,common,e,france,,sfsfmf,lightgrey,gold,lightgrey,,The hero of the Babar children's book series by Jean de Brunhoff
,e3,Horton,,elephant,,common,e,usa,,smwwfs,tan,lightsteelblue,tan,,The keen-hearing hero of the Dr. Seuss classic
,e4,Dumbo,,elephant,,common,e,usa,,msffsm,deeppink,gainsboro,deeppink,,The big-eared flying elephant
,e5,Mahapadma,,elephant,,legendary,e,india,,wpwswpw,black,white,gray,,The elephant supporting the Earth while standing on the shell of a giant turtle
,e6,Hathi,,elephant,,rare,e,africa,,wppppw,tan,gray,tan,,The leader of the elephant troop in The Jungle Book by Rudyard Kipling
,e7,Hassan,,elephant,,epic,e,china,,smsmms,white,white,white,,The Stolen White Elephant in a story by Mark Twain.  The elephant's full name was Hassan Ben Ali Ben Selim Abdallah Mohammed Mois Alhammal Jamsetjejeebhoy Dhuleep Sultan Ebu Bhudpoor
,e8,Elmer,,elephant,,rare,e,england,,sfsfsf,gold,hotpink,turquoise,,The Patchwork Elephant in the stories by David McKee
,e9,Nellie,,elephant,,common,e,england,,smpfms,aquamarine,lightcyan,aquamarine,,The hero of a classic children's song
,ea,Tantor,,elephant,,rare,e,usa,,ppsspp,rosybrown,darkgray,rosybrown,,A friend of Tarzan
,eb,Chengallur,,elephant,,epic,e,india,,ssppss,tan,mistyrose,tan,,Chengallur Ranganathan was the tallest elephant that ever lived
,ec,Kandula,,elephant,,legendary,e,srilanka,,wmwpwmw,gray,royalblue,gray,,The legendary royal war elephant of the Sri Lankan prince Dutugamunu
,ed,Keshavan,,elephant,,epic,e,india,,mmffmm,darkgray,gray,darkgray,,"Guruvayur Keshavan was a famous temple elephant in India, given the title “Gajarajan” meaning Elephant King"
,ee,Ruby,,elephant,,common,e,usa,,mmssmm,gainsboro,rosybrown,gainsboro,,An elephant who created paint on canvas art
,ef,Suleiman,,elephant,,rare,e,germany,,mmffmw,gray,thistle,gray,,An elephant presented as a gift to Maximillian II (later the Holy Roman Emperor)
,eg,Surus,,elephant,,legendary,e,italy,,wwwwwww,rosybrown,brown,rosybrown,,One of Hannibal's war elephants that crossed the Alps in 218 BC
,eh,Mudanda,,elephant,,legendary,,africa,,ppsfspp,chocolate,peru,chocolate,,A matriarch of her family in Tsavo National Park – lived 60 years
,ei,Airaavata,,elephant,,legendary,,india,,mmpmsmm,gold,white,gold,,Airaavata carries the Hindu god Indra.  Airaavata has five heads and 10 tusks.  (illustrated here: the middle head)
,ej,Lin Wang,,elephant,,rare,,china,,pppppp,lightcyan,lightsteelblue,lightcyan,,A construction elephant in China during World War II.  Later taken to Taiwan and made a citizen of Taipei
,ek,Mahmud,,elephant,,epic,,yemen,,sfmwfs,mistyrose,palevioletred,mistyrose,,The elephant who halted at the border of Mecca and refused to invade.
,,,,,,,,,,,,,,,
// new elephants – a work in progress,,,,,,,,,,these have not really been assigned,,,,,
//,el,Kabumpo,,elephant,,rare,,,,wwwwwm,,,,,The Elegant Elephant of Pumperdink in the land of Oz
//,em,Chota,,elephant,,epic,,,,fpppff,mistyrose,white,mistyrose,,Jahan's elephant in The Architect's Apprentice by Elif Şafak
//,en,Eddie,,elephant,,common,,,,swswsw,,,,,One of Maisy's friends in the Maisy Mouse book series by Lucy Cousins
//,eo,Tubul,,elephant,,legendary,,,,wwwpwww,,,,,One of four elephants supporting the Discworld in the works of Terry Pratchett
//,ep,Uncle,,elephant,,common,,,,sfpfps,,,,,The rich philanthropic elephant in the series of books by J. P. Martin
//,eq,Jumbo Jim,,elephant,,rare,,,,wfppww,,,,,The hero of a classic comic strip by Bertie Brown
//,er,O. Fanth Mzn,,elephant,,rare,,,,fmffms,,,,,A publisher and editor in the world of the Tom Poes comic strip by Maren Toonder
//,qs,Perry,,elephant,,rare,,,,sfppmm,,,,,"Perry Pachidermia, Pinky's boss in the Pinky comics by Massimo Mattioli"
//,qt,Pellefant,,elephant,,rare,,,,wwssww,cornflowerblue,oceanblue,cornflowerblue,,The blue toy elephant who came to life in the story by Rune Andréasson
//,qu,Shep,,elephant,,common,,,,wwwwss,bluegray,lightgrey,bluegray,,George's pet dog in George of the Jungle by Jay Ward and Bill Scott
//,qv,Horatio,,elephant,,common,,,,wwpwww,,,,,The easily excitable elevator operator from Sesame Street
//,qw,Stampy,,elephant,,common,,,,fpsfwf,cornflowerblue,lightgrey,cornflowerblue,,"Briefly the pet of Bart Simpson.  Like people, some animals are just jerks."
//,qx,Elly,,elephant,,epic,,,,ssssww,pink,pink,pink,,The graceful scooter-riding elephant in the world of Pocoyo
//,qy,Gajendra,,elephant,,legendary,,,,pppwfpp,white,rosybrown,white,,An elephant attacked by a crocodile and saved by the god Vishnu
//,qz,Solomon,,elephant,,legendary,,,,pmpmpmp,purple,purple,purple,,The adventurous hero of The Elephant's Journey by 	José Saramago
//,qA,Kisasi,,elephant,,legendary,,,,wwmmmww,grape,violapurple,plumpurple,,A huge elephant ghost who wanders the earth exacting revenge on ivory poachers
//,qB,Echo,,elephant,,epic,,,,wfmmpw,,,,,The wise old matriarch of a clan of elephants in the Amboseli National park in Kenya
//,qC,Joyraj,,elephant,,epic,,,,fmfmfm,,,,,"The ""Pride of Kaziranga"" in Assam India, involved in anti-poaching, rescuing animals, and starring in elephant festivals"
//,qD,Pang Noi,,elephant,,epic,,,,wwpsfw,,,,,A female elephant smuggled from Thailand to a work camp in Laos and eventually rescued in a 3 month journey back to Thailand
//,qE,Big Tim,,elephant,,legendary,,,,pspspsp,,,,,A giant tusker elephant known and loved throughout Kenya
,,,,,,,,,,,,,,,
// extra,,Isilo,,elephant,,,,,,,,,,,"A tusker who lived in Tembe Elephant Park in South Africa, with tusks over 3 meters long."
// extra,,Four-Tusk,,elephant,,,,,,,,brown,,,An elephant king outsmarted by a clever rabbit named Victory
// extra,,,,,,,,,,,,,,,
// extra,,Your Elephant,,elephant,,,,zulu,,sfpmwmw,yellow,violet,palegreen,,Email me (info@whalebunny.com) with the name and background info of your favorite elephant for a chance to have it appear here
,,,,,,,,,,,,,,,
,,,,,,,,,,,//ears,// face,// hair,// stripe,
,h1,Tencendur,,elephant,horse,epic,h,france,,wwwwwm,maroon,brown,sienna,sandybrown,The warhorse of King Charlemagne
,h2,Mortis,,elephant,horse,legendary,h,greece,,wwwpwww,lightgray,white,gray,#E0E0E0,"And I looked, and behold, a pale horse! And its rider's name was Death."
,h3,Artax,,elephant,horse,rare,h,germany,,swswsw,lightgray,#e0e0e0,ivory,#e0e0e0,Atreyu's horse in The Neverending Story
,h4,Boxer,,elephant,horse,common,h,russia,,fpppff,saddlebrown,saddlebrown,maroon,saddlebrown,"A faithful, strong, and naive horse in George Orwell's Animal Farm"
,h5,Capilet,,elephant,horse,rare,h,england,,sfpfps,lightgray,gray,gray,gray,Sir Andrew's horse in Shakespeare's Twelfth Night
,h6,Di Lu,,elephant,horse,epic,h,china,,wfppww,indianred,lightsalmon,salmon,darkred,The mount of the Chinese warlord Liu Bei from the Romance of the Three Kingdoms
,h7,Bree,,elephant,horse,common,h,england,,fmffms,sandybrown,lightyellow,sandybrown,tan,The title character from The Horse and His Boy
,h8,Jim,,elephant,horse,common,h,usa,,sfppmm,black,#404040,#606060,#404040,A cab horse who lived for a while in Oz.
,h9,Morgenstern,,elephant,horse,rare,h,usa,,wwssww,gray,black,black,gray,Julian's horse in the Chronicles of Amber
,ha,Pegasus,,elephant,horse,legendary,h,greece,,pppwfpp,azure,white,lightcyan,white,The winged steed from Greek mythology
,hb,Roach,,elephant,horse,rare,h,poland,,wwpwww,darkred,brown,black,black,The mount of Geralt of Rivia (The Witcher)
,hc,Rocinante,,elephant,horse,common,h,spain,,fpsfwf,darkgray,gray,white,gainsboro,The horse of Don Quixote
,hd,Shadowfax,,elephant,horse,epic,h,england,,ssssww,ghostwhite,white,whitesmoke,white,Gandalf's exceptional steed
,he,Brego,,elephant,horse,rare,h,england,,wwwwss,darkred,saddlebrown,black,snow,Aragorn's horse
,hf,Sleipnir,,elephant,horse,legendary,h,norway,,pmpmpmp,indigo,thistle,black,lavender,The eight-legged mount of Odin
,hg,Hengroen,,elephant,horse,epic,h,england,,wfmmpw,ivory,ivory,white,silver,King Arthur's horse
,hh,Tikbalang,,elephant,horse,legendary,h,philippines,,wwmmmww,darkred,black,firebrick,crimson,The demon horse of Philippine folklore
,hi,Uchchaihshravas,,elephant,horse,legendary,h,india,,pspspsp,gray,white,gold,red,The seven-headed flying horse from Hindu legend.  (illustrated here: the friendly head)
,hj,Goliath,,elephant,horse,epic,h,france,,wwpsfw,black,#303030,black,#303030,The mount of Etienne of Navarre
,hk,Pokey,,elephant,horse,common,h,usa,,fmfmfm,orangered,orangered,black,orangered,Gumby's valiant steed
,,,,,,,,,,,,,,,
// new horses – a work in progress,,,,,,,,,,these have not really been assigned,,,,,
//,hl,Mister Ed,,,,common,,,,wwwwww,,,,,A talking horse from the stories of Walter R. Brooks
//,hm,Magic,,,,common,,,,sfsfmf,,,,,"A miniature therapy horse, working in hospitals and hospice programs in the U.S."
//,hn,Li'l Sebastian,,,,rare,,,,smwwfs,,,,,The miniature horse celebrated by the citizens of Pawnee
//,ho,Binky,,,,epic,,,,msffsm,"milky white, but glowing?",,,,The horse ridden by Death in Terry Pratchett's Discworld
//,hp,Seabiscuit,,,,common,,,,mmssmm,,,,,A champion thoroughbred racehorse in the 1930s and 1940s
//,hq,Dilu,,,,epic,,,,wppppw,,,,,The horse of the Chinese warlord Liu Bei in the Romance of the Three Kingdoms
//,hr,Black Beauty,,,,common,,,,smsmms,bluegray,black,gray,,The hero of the classic children's book by Anna Sewell
//,hs,Joey,,,,rare,,,,sfsfsf,,,,,The hero of the novel War Horse by Michael Morpurgo
//,ht,Gunpowder,,,,common,,,,smpfms,,,,,Ichabod Crane's horse in The Legend of Sleepy Hollow
//,hu,Melody Belle,,,,rare,,,,ppsspp,,,,,The only horse to win the New Zealand Triple Crown
//,hv,Chollima,,,,legendary,,,,wpwswpw,,,,,The swift and powerful winged horse from Korean mythology
//,hw,Picasso,,,,rare,,,,pppppp,,,,,famous wild mustang
//,hx,Shabdiz,,,,legendary,,,,wmwpwmw,,,,,The swift stallion of Khosrau Parves of Persia
//,hy,Wihwin,,,,legendary,,,,wwwwwww,,,,,The demonic water horse of Central America
//,hz,Inciatus,,,,rare,,,,mmffmw,,,,,"The pampered horse of Caligula, who wanted to make him a political officer"
//,hA,Yulong,,,,epic,,,,mmffmm,,,,,Journey to the West
//,hB,Morvark ,,,,legendary,,,,ppsfspp,flame red,black,flame,,A supernatural horse from Breton legend with the ability to gallop on top of the waves
//,hC,Abraxas,,,,epic,,,,ssppss,flame red,,,,One of the  horses pulling the sun across the sky in Greek mythology
//,hD,Šarac,,,,legendary,,,,mmpmsmm,black,white,gray,,The powerful and loyal horse companion in Serbian stories about Prince Marko
//,hE,Lou Drapé,,,,epic,,,,sfmwfs,,,,,A folklore horse in the Gard region of France who abducts children at night
,,,,,,,,,,,,,,,
//extra,,Wildfire,,,,,,,,,,,,,The lost pony in the song by Michael Martin Murphey
//extra,,Tornado,,,,,,,,mmffmm,,,,,the horse of zorro
//extra,,Trigger,,,,,,,,,,,,,roy rogers
//extra,,Mammoth,,,,,,,,,,,,,"The largest horse in history, weighing over 1500 kg."
//extra,,Silver Blaze,,,,,,,,,,,,,A horse who mysteriously disappears in a Sherlock Holmes story
//extra,,Donkey (from shrek),,,,,,,,,,,,,
//extra,,Keshi,,,,,,,,,,,,,The horse demon who fought with Krishna
//extra,,Hayagriva,,,,,,,,,,,,,"Hindu god with a horse head and human body, worshiped for his wisdom and strength"
,,,,,,,,,,,,,,,
// The plan now is to have 40 horses and 40 elephants and somehow make them visually distinct.  See https://en.wikipedia.org/wiki/List_of_fictional_pachyderms,,,,,,,,,,,,,,,
// new horses should be no problem in theory,,,,,,,,,,,,,,,
"// and then worry about birds and possibly monkeys – see notes in code, I think.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"// rabbits, a work in progress.  Note that rabbit art (svg) is tested and working",,,,,,,,,,,// four colors for rabbits,,,,
//,r1,Moon Rabbit,,,,legendary,,,,,,,,,The rabbit who lives on the moon and grinds ingredients in his mortar and pestle
//,r2,Bigwig,,,,,,,,wwwppp,,,,,The bravest and toughest rabbit in the Watership Down warren
//,r3,Peter Rabbit,,,,,,,,,,,,,The hero of the series of children's books by Beatrix Potter
//,r4,Harvey,,,,,,,,,,,,,The six-foot invisible rabbit from the film and play of the same name
//,r5,Hazel,,,,epic,,,,mfwpsm,,,,,"The intelligent, caring, courageous Chief Rabbit of Watership Down"
//,r6,March Hare,,,,,,,,,,,,,The hare from Alice's Adventures in Wonderland who believes it's always tea time
//,r7,Rabbit,,,,,,,,pppppp,,,,,The practical hard-working rabbit friend of Winnie the Pooh
//,r8,Runny Babbit,,,,,,,,,,,,,The hero of the book Runny Babbit by Shel Silverstein
//,r9,The Velveteen Rabbit,,,,,,,,,,,,,"Once a toy, transformed into a real rabbit by the love of its owner in the book of the same name"
//,ra,White Rabbit,,,,,,,,,,,,,The nervous and always-late rabbit from Alice's Adventures in Wonderland
//,rb,Bugs,,,,,,,,,,,,,The sarcastic carrot-munching hero from Looney Tunes
//,rc,Jaxxon,,,,,,,,,,,,,A Lepi smuggler friend of Han Solo
//,rd,Mr. Bun,,,,,,,,,,,,,Susie's stuffed rabbit in the Calvin and Hobbes comics
//,re,The Rabbit of Caerbannog,,,,,,,,wwwwwf,,,,,The killer rabbit from Monty Python and the Holy Grail
//,ef,Roger Rabbit,,,,,,,,,,,,,The rabbit accused of murder in Who Framed Roger Rabbit
//,eg,Hutch,,,,,,,,,,,,,A rabbit with some human characteristics from The Curse of the Were-Rabbit
//,eh,Usagi,,,,,,,,,,"white, black",,,A ronin samurai in the world of Usagi Yojimbo by Stan Sakai
//,ei,Mr. Herriman,,,,,,,,,,gray white?,,,The strict rule-following manager of Foster's Home for Imaginary Friends
//,ej,The Easter Bunny,,,,epic,,,,,,,,,The egg-delivering rabbit seen around Easter in some cultures
//,ek,Aesop's Hare,,,,,,,,,,,,,The overconfident racer in the classic tale of The Hare and the Tortoise
//,el,Nanabhozo,,,,legendary,,,,,,,,,An adventurous deity from Algonquin mythology who often appears as a rabbit
//,em,Tu,,,,,,,,,,,,,The rabbit in the Chinese zodiac
//,en,The Hare of Inaba,,,,legendary,,,,,,,,,A clever rabbit of Japanese myth
//,eo,Al-Mi'raj,,,,legendary,,,,,,,,,A mythical beast from Sea-Serpent Island in the Indian Ocean
//,ep,Macuiltochtli,,,,legendary,,,,,,,,,A divine rabbit known for frequent drunken partying
//,eq,Fiver,,,,,,,,sspmss,,,,,The small visionary companion of Hazel in Watership Down
